Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
lower stratosphere + upper troposphere;Carbon dioxide;Emission to air;f8b49a6e-fac7-4373-97fb-8ddf3bbb27f5;kg
unspecified air;Quizalofop-ethyl;Emission to air;60a87bf9-a705-421b-a10f-1ab18ca340af;kg
low population density;Chlorothalonil;Emission to air;63e7b032-8549-11e0-9d78-0800200c9a66;kg
unspecified air;Hydrocarbons, aliphatic, alkanes, cyclic;Emission to air;5c9ec415-12f1-4390-bcff-3ff0fcd7ba73;kg
lower stratosphere + upper troposphere;Toluene, 2-chloro;Emission to air;2df9d4e0-f095-4089-be46-1c1acbcf3a09;kg
unspecified air;PFPMIE;Emission to air;fb90b71b-6e1f-4e66-87a9-0f837bc05b0e;kg
low population density;Rimsulfuron;Emission to air;c615797e-63d8-4bb2-8b11-f21a20fa4129;kg
low population density;Ethane, hexachloro-;Emission to air;962a0cad-2954-4348-9780-ab11156536a2;kg
high population density;Ethane, 1,1,2,2-tetrafluoro-, HFC-134;Emission to air;0974d429-0b86-4bc7-9a55-a3124f711901;kg
lower stratosphere + upper troposphere;Carbaryl;Emission to air;334af3c5-9086-470d-802d-d944a007f8fd;kg
high population density;Fenoxaprop-P ethyl ester;Emission to air;be3aa23f-b47f-430a-b7e6-ed00553523f2;kg
high population density;Methane, tetrafluoro-, R-14;Emission to air;dfe1da1e-7756-4f7e-a393-6d5e2342a962;kg
low population density, long-term;Ether, di(difluoromethyl), HFE-134;Emission to air;2127bd4e-541a-4684-8129-91b3cd2cced0;kg
low population density, long-term;EPTC;Emission to air;48d6dc18-e9a5-4ada-92d3-9428ed2b1d4f;kg
low population density, long-term;para-Ethyltoluene;Emission to air;1d2755aa-d82b-450c-8213-23706a1b4293;kg
unspecified air;Nitrogen;Emission to air;04176bc2-32ec-48b4-88f7-65f57c6d1293;kg
unspecified air;Cobalt compounds;Emission to air;0ce038f7-e20c-4d9d-8201-e39d37b7636f;kg
low population density;1-Hexene;Emission to air;8ed0dd8d-64b5-44ed-924e-ee883e3bf19e;kg
low population density;Esfenvalerate;Emission to air;4aa30d0a-cfdb-48a7-939a-4ba9321ae9df;kg
lower stratosphere + upper troposphere;Tungsten;Emission to air;d68bd053-2f8c-4890-a0fd-771f4be30c14;kg
low population density;Dimethipin;Emission to air;bffb0b17-ac70-4477-b3da-f1ac429c59ba;kg
high population density;Aldrin;Emission to air;e8292dd6-3e69-4af4-977a-8bef0cb6c1c9;kg
low population density;Heptane;Emission to air;025fcb20-0591-4bae-80fc-7c34e9af2e7b;kg
lower stratosphere + upper troposphere;Monocrotophos;Emission to air;a69a6c9b-e830-402c-bdb9-8984a20a8365;kg
unspecified air;Chlorothalonil;Emission to air;618f1c16-c2f2-4133-9778-bdd29550a2b7;kg
high population density;Silicon tetrachloride;Emission to air;55f0f584-45ca-4bc3-af11-098164f471e6;kg
low population density, long-term;Methyl formate;Emission to air;2563243b-9991-4fb4-bfe7-4239c25de7db;kg
unspecified air;Butyrolactone;Emission to air;17ae628d-e769-4aa3-a20e-9f9bad222bf2;kg
high population density;Curium-242;Emission to air;32aaf6ef-c3e7-4c81-8e37-4c3c8768454f;kBq
high population density;Lead-210;Emission to air;356c6086-4835-4a0d-b1f2-10f8b6656d23;kBq
high population density;Dodecane;Emission to air;290b9600-5985-4881-9988-1e6551816f3a;kg
low population density;Aldicarb;Emission to air;63e78924-8549-11e0-9d78-0800200c9a66;kg
low population density, long-term;Hexamethyldisilizane;Emission to air;0c906b13-a938-4e0d-9722-ae52ffa41ecd;kg
lower stratosphere + upper troposphere;Krypton-85m;Emission to air;3a426398-ce2c-4803-aabf-d00b8bc1c277;kBq
low population density, long-term;Propane;Emission to air;abb87cf5-9e30-4d02-987c-7643510b7013;kg
high population density;Glufosinate-ammonium;Emission to air;f45cb9dc-7e79-4642-bdb2-bace8cf8b993;kg
low population density;Metamitron;Emission to air;31662df4-d58e-493f-b0a0-66a67f5a96b1;kg
unspecified air;methyl cyclopentane;Emission to air;fe0acd60-3ddc-11dd-afbf-0050c2490048;kg
high population density;2-Hexanone;Emission to air;3f31cbb0-66a1-4d42-9c86-c97050f447aa;kg
lower stratosphere + upper troposphere;Thorium-228;Emission to air;de0478a0-377a-46dc-89ac-0e1705bb9e7f;kBq
lower stratosphere + upper troposphere;Chlormequat;Emission to air;dfef07fc-f072-4f16-b102-7b83a6b69a9e;kg
low population density, long-term;Fuberidazole;Emission to air;4972a68b-a94a-4989-9348-0ca794309549;kg
low population density, long-term;Ethylene glycol;Emission to air;3a5b4a5f-0c52-4314-b9bb-030baff8e00c;kg
unspecified air;Radioactive species, other beta emitters;Emission to air;630a48ab-c9f7-4bf0-9efd-9f865934c2c8;kBq
unspecified air;Krypton-85;Emission to air;8653eab9-c010-4d0b-ae9f-71694cb5291f;kBq
unspecified air;Thiodicarb;Emission to air;9502157d-63b4-4fd3-9582-7bc3f3360de4;kg
lower stratosphere + upper troposphere;Methane, chlorotrifluoro-, CFC-13;Emission to air;b9c1ac70-e2eb-4fcd-bc63-befa92866af5;kg
lower stratosphere + upper troposphere;Phenol, pentachloro-;Emission to air;db14d898-11e8-4fcc-9880-91537c4af283;kg
unspecified air;Metiram;Emission to air;0d7c9a40-6f80-4dbf-9360-22b60a1c70a8;kg
high population density;Clay, bentonite, in ground;Emission to air;15fb1800-fe00-4a95-b790-43785f913d04;kg
lower stratosphere + upper troposphere;Decabromodiphenyl oxide;Emission to air;c6ffaaf3-5683-4eae-a748-f9efe6f9258b;kg
unspecified air;Acifluorfen sodium salt;Emission to air;aed7b309-8535-4a9c-b3b2-4587e073e6a9;kg
low population density, long-term;Tridemorph;Emission to air;5c21d49e-c544-4a36-af2c-ed9edfcbfa70;kg
unspecified air;4,4'-Oxybisbenzenamine;Emission to air;697f773b-76f4-423e-82a8-77fcc94d8f6c;kg
high population density;Triadimenol;Emission to air;0b4268da-2733-4f88-92f6-c39491b35a43;kg
lower stratosphere + upper troposphere;Benzene;Emission to air;eb15dd66-43ee-4161-ac90-2cd6d19ca72d;kg
high population density;Xenon-135;Emission to air;983e6e13-30a3-4771-b207-51d39ca7cd5a;kBq
high population density;Propane, 1,1,1,2,2,3-hexafluoro-, HFC-236cb;Emission to air;77532713-6bcf-405c-b0a2-0b6966eb5bea;kg
low population density, long-term;Diisobutyl ketone;Emission to air;44a34514-8ec0-4f9f-ade7-0a2890396d05;kg
low population density, long-term;Anthranilic acid;Emission to air;412022a7-3c01-4e3c-92c8-d710927ed17a;kg
low population density;Diazinon;Emission to air;63e7b03b-8549-11e0-9d78-0800200c9a66;kg
lower stratosphere + upper troposphere;Phenol, 2,4-dimethyl-;Emission to air;6a395d50-9d54-4e68-bbca-1292f300ca97;kg
high population density;Metiram;Emission to air;eebed671-1318-4219-b353-8b692a093bfe;kg
high population density;Curium-244;Emission to air;8c7101c8-0542-4e61-b847-c97237b86022;kBq
unspecified air;Ozone;Emission to air;2058d91e-bb9f-4fce-8e53-131825b14a23;kg
low population density;butylate;Emission to air;8da0ca44-f0b1-4890-952d-60e8763b3c1f;kg
high population density;tellurium-123;Emission to air;aa44c2b1-a57f-44bd-9dca-8b101155b621;kBq
high population density;Diazinon;Emission to air;0380b284-8e7f-4881-b7cc-528743631d3f;kg
low population density, long-term;Benzoyl chloride;Emission to air;d50368f2-8ded-4588-a38c-fecb19b626ee;kg
unspecified air;Uranium-235;Emission to air;698d08b4-fee6-40d4-93dd-24a28d48df45;kBq
low population density, long-term;difenzoquat;Emission to air;f3a407dd-e36e-480f-b442-58302958b108;kg
low population density;Pyriproxyfen;Emission to air;55a1131b-0df6-4a1d-84cb-1e4e56db54c9;kg
lower stratosphere + upper troposphere;cis-2-Butene;Emission to air;2c6de1b4-0f93-4640-b563-5db4d626d32e;kg
high population density;Bromoform;Emission to air;fbf3f617-1db3-4441-9218-e4267be21041;kg
unspecified air;Polychlorinated biphenyls;Emission to air;c9b97088-efc6-43c1-8d26-f78d6cdbb50b;kg
unspecified air;Sodium nitrate, in ground;Emission to air;1cc9af66-fc65-46b8-9f37-523c03905fc9;kg
low population density, long-term;Silicon;Emission to air;2cea4705-5460-4f03-80ca-1aaf90f17c3a;kg
high population density;Epoxiconazole;Emission to air;d8abab33-cca6-4ce6-8355-4a8ab7dc7f20;kg
low population density, long-term;Ethane, 1,1,2-trifluoro-, HFC-143;Emission to air;c2a76c08-11aa-416e-8718-781575f780ac;kg
unspecified air;Nickel compounds, unspecified;Emission to air;7ae398ba-8532-11e0-9d78-0800200c9a66;kg
low population density;Methomyl;Emission to air;1391a488-93a2-4ed6-bfe9-b02a46c24a7e;kg
low population density;Oxytetracycline;Emission to air;a154e118-0307-474a-84a8-3387207a108b;kg
unspecified air;Terephthalate, dimethyl 2,3,5,6-tetrachloro-;Emission to air;28b4008f-12ac-4241-aeea-9ce358d06fcd;kg
unspecified air;Radium-226;Emission to air;b912f4b4-34ac-4ec1-aba1-01b9c83683e5;kBq
unspecified air;Carbon dioxide, from soil or biomass stock;Emission to air;7b0d26c8-93a6-49d8-ad9a-da200d2824f1;kg
low population density, long-term;Vinyl acetate;Emission to air;488e4c31-da5c-4d5b-adf5-d328cd3bd7ff;kg
high population density;Iodine-131;Emission to air;ddb14297-53e4-44c2-907c-47b27074ecaf;kBq
high population density;2-Nitrobenzoic acid;Emission to air;90d374f1-b739-45b2-a734-d6bdd8c8dc9c;kg
low population density;2,4,5-Trichlorophenol;Emission to air;9e6711d1-2a8d-442e-b974-f3880af2e5da;kg
unspecified air;Formetanate hydrochloride;Emission to air;a73aff63-33de-4217-b261-111ae7c4ef72;kg
unspecified air;Permethrin;Emission to air;d586192a-d75e-4d44-a979-afc72b7c3b78;kg
unspecified air;Hydrogen iodide;Emission to air;fe0acd60-3ddc-11dd-a95a-0050c2490048;kg
lower stratosphere + upper troposphere;Trifluralin;Emission to air;c666c3aa-19c7-47c6-a488-5ae45466d5e2;kg
low population density, long-term;Selenium;Emission to air;93e71b71-05d4-4a44-a85a-592a6f21cf0c;kg
low population density;melamine;Emission to air;b3671172-7848-4c78-a256-bdeec85ce990;kg
lower stratosphere + upper troposphere;1,3-PHENYLENEDIAMINE;Emission to air;1959b84f-b60a-40f8-a377-c63934bed060;kg
lower stratosphere + upper troposphere;Monochloroethane;Emission to air;4394c871-7245-4bfc-8e9d-9a875e81b7ee;kg
high population density;Xenon-138;Emission to air;f7d0e49d-e9b5-414e-8d22-6a167cb9078c;kBq
lower stratosphere + upper troposphere;Triethylene glycol;Emission to air;ef74083b-da1a-4c69-813a-9d339f39bb81;kg
lower stratosphere + upper troposphere;2-Nitrophenol;Emission to air;4713a6c9-acc5-4942-9d0f-36473de3a70b;kg
lower stratosphere + upper troposphere;Bromuconazole;Emission to air;09eddd36-333d-491a-acfc-c8c25ac1b643;kg
low population density, long-term;isobutyraldehyde;Emission to air;4d3fca94-6936-4cf8-926c-a685512f091b;kg
low population density;Zinc compounds;Emission to air;af1b7a62-4ba9-4478-b4c1-9aaf281a3edd;kg
unspecified air;1,2-DICHLOROETHYLENE;Emission to air;5aa1acb8-2256-4929-ab99-0f0feff8d459;kg
high population density;Propanol;Emission to air;4a6af581-af93-4d79-9f45-a5c43f463bbb;kg
low population density, long-term;Tefluthrin;Emission to air;7f47c987-95f9-467b-bbc7-eb5975a57e3d;kg
high population density;Diglycidyl resorcinol ether, technical grade;Emission to air;9b172066-1f99-413a-8d29-cdcb559aec36;kg
high population density;isobutyraldehyde;Emission to air;0a07a739-e6cf-4716-87a8-1078afbd3f0f;kg
high population density;Caprolactam;Emission to air;6ee32878-8321-4dc6-986d-922a4953cf60;kg
lower stratosphere + upper troposphere;Ammonium carbonate;Emission to air;73ec59d7-a227-407f-963a-fd9c61b4d172;kg
low population density, long-term;Propamocarb HCl;Emission to air;50b5bb68-a6f5-4c45-bc38-c47c805b4939;kg
high population density;Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa1;Emission to air;58e88255-419f-4682-b48f-5f507002c010;kg
lower stratosphere + upper troposphere;Morpholine;Emission to air;3872ec85-c172-4d42-9a54-83b2f0f11352;kg
lower stratosphere + upper troposphere;2-Methylbutan-2-ol;Emission to air;adbc1957-f9ce-4400-a75c-c1ba3ceee462;kg
unspecified air;Xenon-138;Emission to air;2cbfe861-7436-4a43-8892-f057320dc57d;kBq
lower stratosphere + upper troposphere;Methane, dibromodifluoro-, Halon 1202;Emission to air;0a422843-73b9-4486-ba6a-7933f3037291;kg
low population density, long-term;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;Emission to air;1e060d5a-cd41-4f30-9c93-272403b7e004;kg
lower stratosphere + upper troposphere;Ethane;Emission to air;6cfec9aa-691b-4be2-940d-56e73fda16de;kg
high population density;Ethene, tetrachloro-;Emission to air;d2d4b344-3c58-4b0c-868a-ac0bdb2027dc;kg
lower stratosphere + upper troposphere;Ethane, fluoro-, HFC-161;Emission to air;2f212135-bda9-4adb-898b-89439d6291e9;kg
low population density;Ozone;Emission to air;404a34e3-251d-4d4f-9f53-9c27f99bfc0e;kg
low population density, long-term;Cadmium;Emission to air;23eaa36d-add4-4219-961e-ca7104dc0de9;kg
unspecified air;Quizalofop-p-ethyl;Emission to air;826fa713-9e37-44c8-9472-365d1f12f00d;kg
low population density;Hexachlorophene;Emission to air;bf207926-9da9-4665-a220-ad42d33d3c2e;kg
unspecified air;Pyraflufen-ethyl;Emission to air;bec60187-cc96-4ae3-9d3f-51c58365e77a;kg
low population density, long-term;Ozone;Emission to air;fa8dc41a-ffc4-4665-af39-7c813795183a;kg
low population density;Diethyl ether;Emission to air;98f28ebe-22c0-4d0b-a2a2-2fcf910a91dd;kg
low population density, long-term;Hexamethylene diamine;Emission to air;6de93068-e1bc-4f80-968d-7bed20ba29d9;kg
unspecified air;Dinitrotoluene, technical grade (2,4 (77%)- and 2,6 (19%)-);Emission to air;e3b6ef10-2b6d-4f29-97dd-c0ceac1d27ba;kg
unspecified air;Ether, 2,2,3,3,3-Pentafluoropropyl methyl-, HFE-365mcf3;Emission to air;db4da7b0-b7b4-4f47-9132-b3f573fa2024;kg
unspecified air;Ethane, hexafluoro-, HFC-116;Emission to air;acc39720-dda7-4b3a-80c7-c6394cad4191;kg
unspecified air;N-Nitrosodipropylamine;Emission to air;5e035fb5-31c0-4726-9bc7-9b3c4affd51d;kg
lower stratosphere + upper troposphere;Triadimenol;Emission to air;c15e428a-7076-4eeb-8b20-653897844660;kg
low population density, long-term;Propionic acid;Emission to air;4009a3f4-1995-4318-9056-92825bc532c3;kg
high population density;Metobromuron;Emission to air;05ba6d84-5839-49c1-b0b8-650f1abca222;kg
low population density, long-term;Benzene;Emission to air;8476d82a-4a17-4c08-8339-efd46c6518e7;kg
unspecified air;Propylene glycol butyl ether, unspecified;Emission to air;4827a67b-b416-426c-ae9c-ff5e0156670d;kg
high population density;Propamocarb;Emission to air;0634f47e-4192-485a-a73c-f4ec290c8351;kg
high population density;Aniline;Emission to air;79def65c-bd77-4fb2-a1df-f4dba98ada8f;kg
low population density;Profenofos;Emission to air;62393c3a-0d8a-4e83-a066-4ebe21154371;kg
low population density, long-term;Sodium hydroxide;Emission to air;569d6913-cb05-4f39-8543-9f7c5cc845f8;kg
lower stratosphere + upper troposphere;Uranium;Emission to air;347de5bf-3551-4022-8371-258e830b5a09;kg
unspecified air;Pentane, 2,3-dihydroperfluoro-, HFC-4310mee;Emission to air;b8597b13-07af-498b-9b1b-bc0cf52c7537;kg
low population density;trifluoromethyl sulphur pentafluoride;Emission to air;d79cd749-1971-4c47-84fb-93ddb7c48035;kg
unspecified air;Tetradecane;Emission to air;a731c3cc-dddd-41ff-9d5e-59be8025faad;kg
low population density, long-term;Curium-242;Emission to air;fce7f1a7-7b02-4e95-9cee-d95275fbb916;kBq
low population density;Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl-, HFE-347mcf2;Emission to air;6d956b40-4dd6-46ea-99c8-69b3c2dded0b;kg
lower stratosphere + upper troposphere;HYDROQUINONE;Emission to air;accd58ad-813d-42a2-8448-11f2d9aff94d;kg
lower stratosphere + upper troposphere;Bis-(chloromethyl)ether;Emission to air;66770d5f-e9af-43fb-96ff-0cc52e6bd3b1;kg
low population density, long-term;isopentane;Emission to air;69a73f35-665b-4b3a-a1e5-56aaa697fb10;kg
low population density, long-term;Carbon dioxide;Emission to air;53487f42-0668-400b-be1f-19f3dd46709c;kg
unspecified air;Acrylic acid;Emission to air;faca26d7-b953-4dd6-94a9-7b8975452e1c;kg
low population density, long-term;Quinmerac;Emission to air;e72375ad-6078-4833-950c-6671d700c4a2;kg
low population density, long-term;Hydrogen chloride;Emission to air;97178ead-47ba-406f-bd68-27d5fc6aa6f8;kg
unspecified air;terbutryn;Emission to air;23d34f09-1104-4b47-af25-0dacb19ebba0;kg
low population density;Metolachlor;Emission to air;63e7d759-8549-11e0-9d78-0800200c9a66;kg
high population density;Chromium compounds;Emission to air;ed3c12e2-41f0-4557-923f-4ebd8558319f;kg
high population density;cis-2-Hexene;Emission to air;a1b6a0c2-559a-4123-b157-23a71a478652;kg
high population density;Hydrocarbons, aliphatic, alkanes, unspecified;Emission to air;bfa26b15-5340-441e-acb4-0bb19a4028d3;kg
lower stratosphere + upper troposphere;Fenoxaprop ethyl ester;Emission to air;0818f415-8456-46c4-9be6-851e29923a30;kg
high population density;Butane, 1,2-epoxy-;Emission to air;bf1b932a-cff3-436d-8c52-5932ac06066d;kg
lower stratosphere + upper troposphere;Methyl formate;Emission to air;f4ce8a13-0159-48e3-a773-669d75e9fd78;kg
high population density;Ethene;Emission to air;36270548-9316-424b-9aeb-e0de134b0be1;kg
low population density;Tebuconazole;Emission to air;bcfff622-97c3-4da7-8f27-5d38f4eebe68;kg
high population density;Carbetamide;Emission to air;93a8cb75-7575-408d-9d6b-5d1b6d624e9c;kg
low population density, long-term;Ethane, chloropentafluoro-, CFC-115;Emission to air;4925cde1-9f43-43d3-bcf1-4865b8de6634;kg
low population density, long-term;Chlorine;Emission to air;5370addb-668e-4223-9a58-8ae947807c27;kg
low population density;N-Nitrosodipropylamine;Emission to air;2a052a32-71a2-4adf-a2f9-31f6cb38d53f;kg
low population density, long-term;Particulates, > 10 um;Emission to air;b001715e-60e4-4f1d-949d-1acfab65bd8f;kg
high population density;1-Methyl-2-pyrrolidinone;Emission to air;1049cdbc-1855-46ab-8219-11b65f0493f8;kg
lower stratosphere + upper troposphere;cis-2-Pentene;Emission to air;42d248cf-7147-4c55-bbd5-2b0fb1cb095a;kg
high population density;allylamine;Emission to air;6f69ddbe-3c0e-4f7a-9b00-893b724464f2;kg
low population density;Amidosulfuron;Emission to air;e99ddec7-200c-455f-959c-560dea3baf8b;kg
high population density;trans-2-Pentene;Emission to air;5cd4fe10-488c-486f-96b0-3620de744570;kg
low population density, long-term;Methane, bromotrifluoro-, Halon 1301;Emission to air;96b52062-5e2f-40de-921a-f443c08862e4;kg
low population density;Acrolein;Emission to air;12840cef-c3b8-4ef2-b7d4-3a73dbd6a280;kg
high population density;o-Nitrotoluene;Emission to air;a4420691-4666-4855-9124-3030ed233407;kg
high population density;NITROGLYCERIN;Emission to air;18de1321-4895-43f5-a316-b4d6fb2b9289;kg
low population density;Pirimicarb;Emission to air;24640c13-a57c-40c4-a4b6-131caa2bb861;kg
unspecified air;turpentine;Emission to air;16ce1f33-d05b-4fd7-8777-9098efe8b3a8;kg
unspecified air;Tetramethyl ammonium hydroxide;Emission to air;5186b1e9-506c-4846-994d-789c5204b38a;kg
low population density;4,4'-Methylenebisbenzeneamine;Emission to air;a5e1de0f-59e6-4a2a-b4f9-3232061a6713;kg
unspecified air;Phosphorus;Emission to air;d761f94e-517d-41cf-89fa-17dc72f7a69b;kg
unspecified air;Bromacil;Emission to air;4519987b-a356-4eb2-98af-b8ebe11ebc97;kg
high population density;Methyl amine;Emission to air;7238734e-18ef-4759-914d-61e9ed11bd4e;kg
low population density;DIETHANOLAMINE;Emission to air;1790c55a-e681-440a-accb-b4fa4c5feba4;kg
low population density;Boric acid;Emission to air;a89fab33-8e9b-4683-9da5-8ebd9c293f49;kg
lower stratosphere + upper troposphere;MCPB;Emission to air;3f7b0992-8742-401f-8060-98d9c45a5edb;kg
unspecified air;Perylene;Emission to air;70c19266-a222-43f4-8ce0-6833978d4ef4;kg
unspecified air;Thorium-232;Emission to air;08ebf986-d40a-4538-8aa7-21da2f99edf7;kBq
low population density, long-term;Cesium-137;Emission to air;62b1a76d-22be-4076-ab47-58597e621ea3;kBq
unspecified air;difenzoquat;Emission to air;f991b217-32ae-4099-9408-6a3fa45fee0b;kg
low population density, long-term;Endosulfan;Emission to air;6dd90bbc-fe4b-4d72-995f-f7dcd7d92c40;kg
low population density, long-term;Halosulfuron-methyl;Emission to air;a90ebc47-0c76-43fe-9940-c47df6d932bf;kg
unspecified air;Norflurazon;Emission to air;05d366bf-f674-40a0-b4a7-8202dcf16a5b;kg
low population density;Mevinphos;Emission to air;163f493b-a6d1-4ce8-99cc-79fd2eb767fd;kg
low population density;t-Butyl methyl ether;Emission to air;edd62398-8916-4183-9615-65afce26518a;kg
high population density;Paraquat;Emission to air;a2b16db8-f535-48c7-b34b-a524e738804f;kg
high population density;Tetracycline hydrochloride;Emission to air;0a87c912-fcd9-4d8e-9160-501f2ba0c79f;kg
unspecified air;Lead compounds;Emission to air;7ae398b6-8532-11e0-9d78-0800200c9a66;kg
low population density;Trichlorfon;Emission to air;5f2ad3e4-dfbf-4706-9eab-057757cc5ced;kg
lower stratosphere + upper troposphere;Isocyanic acid;Emission to air;349a76e2-a467-439f-a179-76d16b656ed1;kg
high population density;Methane, bromodifluoro-, Halon 1201;Emission to air;75f79309-bfa1-42ed-addb-48c13017e11b;kg
high population density;aluminium-fosfide;Emission to air;c5602644-1f71-4c54-8d61-8403586656c6;kg
high population density;Acenaphthylene;Emission to air;f0b81e20-4eb2-4db7-a147-39814da2c691;kg
high population density;ethylenediaminetetraacetic acid;Emission to air;4c20065e-78a9-40f8-8113-8240e6b9b96c;kg
unspecified air;N-Nitrosodiethylamine;Emission to air;a21ba011-4d18-4bda-ad5a-65382ceebc75;kg
lower stratosphere + upper troposphere;Particulates, > 2.5 um, and < 10um;Emission to air;604f9273-f26b-46be-83a7-3a65280011d1;kg
lower stratosphere + upper troposphere;Formaldehyde;Emission to air;22b0b296-d066-4159-a44b-69fdb17dc802;kg
low population density, long-term;2-butenal;Emission to air;f6571384-9210-4c4c-a882-25ae25979d7a;kg
high population density;Fentin hydroxide;Emission to air;311979cb-ecfe-4b08-8524-b41ead3659bb;kg
low population density;Benzyl chloride;Emission to air;3f719401-b7c5-4be3-ad66-9aba1df1e7b6;kg
lower stratosphere + upper troposphere;Cypermethrin;Emission to air;c98c3e0d-7822-466c-8cb4-722cc6ea041a;kg
lower stratosphere + upper troposphere;Lithium carbonate;Emission to air;e023deca-8929-4972-9528-e421a42e8bfd;kg
unspecified air;Propylene oxide;Emission to air;c4503380-1045-4670-a7da-fe5dcce56699;kg
high population density;Sulphur trioxide;Emission to air;b00950bc-99cb-4ee2-bbc0-5f878ea170c3;kg
low population density, long-term;Methyl ethyl ketone;Emission to air;a93012b9-5223-4716-842b-23d4bb53119f;kg
unspecified air;Phosphorus trichloride;Emission to air;dcedc211-8daa-49ac-82a9-ce60a22d9b43;kg
high population density;Nitrogen dioxide;Emission to air;d9945575-a965-4bf3-9cd7-584263172abd;kg
lower stratosphere + upper troposphere;Lead;Emission to air;fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1;kg
high population density;Particulates, > 2.5 um, and < 10um;Emission to air;ccb169c3-8aae-4727-89bb-a7dd122946f3;kg
low population density;Dibenzothiophene;Emission to air;77c083ae-a9d3-4e89-851d-c2173e4d6702;kg
low population density, long-term;M-CRESOL;Emission to air;17b3aca5-19f2-475f-ac05-7c888de34e0f;kg
high population density;Chlorophenols unspecified;Emission to air;49e72fad-206f-4d34-8bc8-7d8e4d38baa5;kg
unspecified air;Black carbon, from open burning;Emission to air;172a52e6-1806-4bb6-b2c6-c86f3920e880;kg
low population density;Dihydrosafrole;Emission to air;c9fc560e-6483-4f95-8d8b-219241242790;kg
low population density, long-term;sodium azide;Emission to air;b5af88f7-f548-4828-be80-ccb55ba35ba8;kg
lower stratosphere + upper troposphere;Propane, 1,1,2,2,3-pentafluoro-, HFC-245ca;Emission to air;bbefac28-0dc6-494b-8a5f-c35a0ee12808;kg
high population density;Heptane;Emission to air;f4bb66f1-c78c-409f-8368-85c1205a3573;kg
low population density;Isoxaflutole;Emission to air;b567fce7-af99-463b-a7de-148398a75b67;kg
lower stratosphere + upper troposphere;Biphenyl;Emission to air;c92547ac-d74c-47e1-9b95-17100f20d5b3;kg
lower stratosphere + upper troposphere;Fluazinam;Emission to air;729b7c46-7c71-463c-86a9-4f7cdea3e3c9;kg
low population density;Acephate;Emission to air;63e76213-8549-11e0-9d78-0800200c9a66;kg
unspecified air;trans-2-Hexene;Emission to air;e424f8cf-75f3-4479-9a74-c8bcc8034ebf;kg
low population density, long-term;Sulfur dioxide;Emission to air;6ce44f77-d181-4396-8fa2-2276eeeb4c08;kg
lower stratosphere + upper troposphere;toluene-2,4-diisocyante;Emission to air;49ab922f-7d26-4a26-b17a-9035810b00e8;kg
unspecified air;Methane, chloro-fluoro-, HCFC-31;Emission to air;5eafb840-6f50-418d-98bd-27b86f75613c;kg
low population density;Chromium VI;Emission to air;03b279a7-4626-4703-a451-d0650599dbd9;kg
high population density;Flumetsulam;Emission to air;da368e35-a66a-4502-a852-825c8e8a449a;kg
low population density;Furan;Emission to air;142ce3b0-4bd6-47a3-9991-7c657c947ffe;kg
lower stratosphere + upper troposphere;Propargite;Emission to air;5a8715aa-a856-433e-a20c-105fab0065f3;kg
lower stratosphere + upper troposphere;Fenarimol;Emission to air;1a537ebb-8fa4-46ed-9aa6-70d14d1f1ebe;kg
low population density;Argon-41;Emission to air;091d8157-f865-4858-8ceb-0a49ac84614b;kBq
low population density, long-term;Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;Emission to air;b018c97d-8fea-4258-b4d3-6a65669c77f4;kg
unspecified air;Tetraethyl lead;Emission to air;067a5b10-b4f2-47ce-921f-adc25e30755f;kg
high population density;Butane, perfluorocyclo-, PFC-318;Emission to air;fa9cdb03-4565-3b75-9e0a-f333fe4a5f63;kg
high population density;Creosote;Emission to air;dddd208f-a2e1-4ff0-86f2-ed4e5206a578;kg
lower stratosphere + upper troposphere;Buprofezin;Emission to air;70fce2c3-ea65-4a10-9908-45de978bde73;kg
lower stratosphere + upper troposphere;Chlorine;Emission to air;fb598112-aae8-4185-b71e-0a8f2c631aac;kg
unspecified air;HFE-347pcf2;Emission to air;3509084b-e423-45d5-a822-9e60a545b55a;kg
high population density;Lenacil;Emission to air;2748ce6c-4329-419b-bec0-c249cd514bc0;kg
lower stratosphere + upper troposphere;Zirconium-95;Emission to air;ae941326-4981-44fa-8be1-8757aab10d00;kBq
lower stratosphere + upper troposphere;Trichlorfon;Emission to air;34a673f8-4837-40ee-9c72-3a0ccc339cff;kg
unspecified air;Starane;Emission to air;266a8f1b-6ac8-411e-b0c9-49a39ea81c23;kg
high population density;Nitric acid;Emission to air;37d014cb-8c2d-4c98-ab5c-2d4550822c2f;kg
low population density;Cyprodinil;Emission to air;4b485270-7696-4f49-96d9-3c362b39b9f0;kg
high population density;Manganese compounds, unspecified;Emission to air;541d876c-d85c-4b18-9819-0a21b111cc4d;kg
lower stratosphere + upper troposphere;Benzoic acid;Emission to air;203f2f14-cb70-47e3-8e27-e25f7fa83879;kg
low population density, long-term;Carbon monoxide, from soil or biomass stock;Emission to air;1c70e782-55c3-46c5-b98c-46447b590e31;kg
