Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
unspecified soil;Propane sultone;Emission to soil;bce3631f-e0c1-4313-992d-5fd398b7be4b;kg
unspecified soil;Metobromuron;Emission to soil;753c5650-d18f-4a0f-8374-b26e2b493e5f;kg
unspecified soil;1,3-DIBROMOPROPANE;Emission to soil;39c921dd-57e6-4ec0-8647-9b4b69d79ca0;kg
industrial;Profenofos;Emission to soil;4cc355c6-ffbc-4361-a5db-9518f3d1cb88;kg
unspecified soil;URACIL;Emission to soil;c802c1c1-912a-4ef3-ab9b-7053b542183c;kg
forestry;Fentin hydroxide;Emission to soil;3eca031b-5095-4cae-9082-9c0fb62b7b69;kg
agricultural;Polychlorinated biphenyls;Emission to soil;88b40fb3-3081-408d-b4ee-c2f409dde1de;kg
unspecified soil;TARTARIC ACID, DIETHYL ESTER;Emission to soil;55da159a-5404-47bb-986c-998f091afbc2;kg
agricultural;Hexythiazox;Emission to soil;da5eebea-ef5f-4054-b0c3-b1226f990fdc;kg
unspecified soil;2-ETHYLHEXYL DIPHENYL PHOSPHATE;Emission to soil;30fc667f-0c2c-4cde-8684-7b9cac3584e2;kg
unspecified soil;PROSCAR;Emission to soil;a0a4daa6-5f9f-47e4-8202-35277f0dc706;kg
agricultural;Ethane, 1,2-dichloro-;Emission to soil;f3fa8307-2749-4e0b-a3e2-228981440642;kg
industrial;Mepiquat chloride;Emission to soil;fac7613c-d3df-40f1-af52-31ececc6a30a;kg
agricultural;Prometryn;Emission to soil;7000de19-18c4-4bfd-90a2-9b1f2346eb99;kg
industrial;Strontium-90;Emission to soil;29063b75-6556-11dd-ad8b-0800200c9a66;kBq
unspecified soil;3-CHLORO-NITROBENZENE;Emission to soil;c42170b6-39be-40ca-a476-0eb927c97e81;kg
industrial;isopropyl acetate;Emission to soil;d94a2f9c-b6e2-41b6-9df1-59318fca039c;kg
industrial;Acrylonitrile;Emission to soil;69a9256f-bce5-480d-9a26-cba1a3ba7930;kg
unspecified soil;2-ETHYL-1,3-HEXANDIOL;Emission to soil;7868433f-1686-4b04-b31f-e26f46aec019;kg
unspecified soil;Dichlobenil;Emission to soil;ee174de7-952c-4254-b806-bfc6b46d3820;kg
forestry;2,6-Dinitrotoluene;Emission to soil;1b12a834-42f4-4011-9071-0f6be848593d;kg
unspecified soil;bis(n-octyl) phthalate;Emission to soil;8b6acea7-029a-4fa2-8a02-686a5869d28e;kg
unspecified soil;9H-Fluoren-9-ol;Emission to soil;bd9973da-a3bf-4012-be33-5d32c5b32a50;kg
