categories;type;exchanges;name;unit;code;database
('air', 'non-urban air or from high stacks');emission;[];Methane, chlorotrifluoro-, CFC-13;kilogram;23a9f33d-dbab-4fcc-8f49-1df731b0b827;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Barium;kilogram;24cf82f8-c517-4fef-8f93-17519adb855e;biosphere3
('natural resource', 'in water');natural resource;[];Bromine, 0.23% in water;kilogram;61341186-aac8-4088-a2b7-ba50093bab6c;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Krypton-85;kilo Becquerel;28be1d65-6b09-4ebd-8599-4366c3c2abab;biosphere3
('air',);emission;[];Krypton-85m;kilo Becquerel;421a7f1b-01a5-4160-bb7e-32fa8967d9b9;biosphere3
('air', 'low population density, long-term');emission;[];4-Methyl-2-pentanone;kilogram;497e2e7c-0e1a-4b9f-a94e-d63d5e49dcf8;biosphere3
('water', 'ground-');emission;[];Technetium-99;kilo Becquerel;d651f8b6-28b4-44b1-9202-71f898a4ba06;biosphere3
('soil', 'industrial');emission;[];Cobalt;kilogram;381a22c9-3722-4378-810d-86958f7b6d32;biosphere3
('air', 'low population density, long-term');emission;[];Titanium;kilogram;b3701449-fe4b-4513-b4a4-065e62f03e5c;biosphere3
('water', 'ground-, long-term');emission;[];COD, Chemical Oxygen Demand;kilogram;a8fea8cf-9b09-49fc-aa58-5a732494a2a0;biosphere3
('soil', 'agricultural');emission;[];Chlorfenvinphos;kilogram;99fd89e9-829f-4998-9ac0-85da6442fd02;biosphere3
('air',);emission;[];t-Butylamine;kilogram;7bbe624a-3626-46d4-abf4-86bda793bdd7;biosphere3
('air', 'low population density, long-term');emission;[];Phosphoric acid;kilogram;bcac684a-8868-4cd3-9063-3275dc831f91;biosphere3
('water', 'surface water');emission;[];Water;cubic meter;db4566b1-bd88-427d-92da-2d25879063b9;biosphere3
('air', 'low population density, long-term');emission;[];Xenon-131m;kilo Becquerel;b6349d15-124b-473b-86b5-da63e0060c1a;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Flumiclorac-pentyl;kilogram;361176bc-ebe3-4f2b-8905-c87feec17d74;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from annual crop, non-irrigated, intensive;square meter;ab3e851e-21c9-47cf-8e7d-5f96dfae3ba5;biosphere3
('water',);emission;[];Dimethylamine;kilogram;43398c2a-4ceb-4c7f-8ffc-37d2b78e22a3;biosphere3
('air', 'urban air close to ground');emission;[];Ethane, 1,1,2-trichloro-;kilogram;eb53bdf4-5b02-40fa-a1cb-318e207e7eec;biosphere3
('water', 'surface water');emission;[];Aniline;kilogram;ca389e38-d086-4527-914c-9c09ea14ae4d;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Krypton-87;kilo Becquerel;68bdd315-335b-406b-ab7d-beefca01768a;biosphere3
('soil',);emission;[];Heat, waste;megajoule;dfbe093a-f470-4ae7-a207-50444f1f23f1;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Monoethanolamine;kilogram;54fbc219-056c-4156-ae4f-f3a5d598665f;biosphere3
('water', 'surface water');emission;[];AOX, Adsorbable Organic Halogen as Cl;kilogram;e395a1a3-6915-4b72-a533-ff1a82fc3da1;biosphere3
('air',);emission;[];Acetone;kilogram;f3d5fd96-8805-4d3d-867a-5df27975b07f;biosphere3
('air',);emission;[];Aluminium;kilogram;ff65658c-2d39-44a2-b23e-7ec3c644f064;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Diethylamine;kilogram;98adfbf6-2ab7-45fd-85cc-73318da5427d;biosphere3
('water', 'surface water');emission;[];2-Methyl-1-propanol;kilogram;79240a49-80cf-4be4-b5c2-bfdd3f4aa249;biosphere3
('natural resource', 'land');natural resource;[];Transformation, to seabed, infrastructure;square meter;c7d2cf2d-0d21-45f7-9769-b07f3e53b76a;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Butyrolactone;kilogram;ac7e2a8c-bf1a-42c7-b033-179a039dd437;biosphere3
('air', 'urban air close to ground');emission;[];Methane, dichloro-, HCC-30;kilogram;2716807d-0266-48ff-bb7a-6e6c5fbfd5c5;biosphere3
('water', 'ground-, long-term');emission;[];Iron-59;kilo Becquerel;6e21027e-bc01-497d-a93a-677ac5a23b31;biosphere3
('water', 'ground-');emission;[];Borate;kilogram;cb7e3e15-ab58-4ef4-8cd0-361511d3b5fe;biosphere3
('water',);emission;[];Potassium, ion;kilogram;130bbacf-e7c7-4ffd-b109-4d576f1d02c1;biosphere3
('water', 'ocean');emission;[];Barium;kilogram;95ad40ec-c34b-49fc-a7dc-0e13172ac105;biosphere3
('air', 'urban air close to ground');emission;[];Promethium-147;kilo Becquerel;08e8878b-4069-4b49-8bca-0dd7c9b44b71;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Heptane;kilogram;025fcb20-0591-4bae-80fc-7c34e9af2e7b;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Cypermethrin;kilogram;620d3423-2376-4fcc-bb89-2d468f8b2df8;biosphere3
('soil',);emission;[];Nitrate;kilogram;774c181d-18a7-4096-aa99-56801ef6b909;biosphere3
('water', 'ocean');emission;[];Fluoboric acid;kilogram;969e148a-eeb1-4d37-b388-8cee13212281;biosphere3
('natural resource', 'in air');natural resource;[];Nitrogen;kilogram;e3f5fd63-7dcb-41f1-9b8a-a48a8d68bc65;biosphere3
('air',);emission;[];Chloroacetic acid;kilogram;9eb7a71d-0e15-4cf3-b8db-4b2ccf87380a;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Noble gases, radioactive, unspecified;kilo Becquerel;a385870b-a14e-4fc1-a8e9-4d37257bf970;biosphere3
('air',);emission;[];Xenon-135m;kilo Becquerel;94eb7305-be1e-416f-b9de-9865d5395bff;biosphere3
('water',);emission;[];Actinides, radioactive, unspecified;kilo Becquerel;928873e6-c391-447e-b503-fbeae3211df1;biosphere3
('water', 'ground-');emission;[];Hydrazine;kilogram;f50e961a-3089-437f-af3c-1099a8a3e1ed;biosphere3
('water', 'ground-, long-term');emission;[];Methyl formate;kilogram;01e16652-6f42-42f4-a23d-d10f166aaec9;biosphere3
('water', 'ground-, long-term');emission;[];Chromium, ion;kilogram;d9c23a8d-e7bf-4f70-8d22-b9ad8a653204;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Quizalofop-ethyl;kilogram;7c034422-6b7a-49c8-afcf-d02cadce9cd5;biosphere3
('water', 'ground-');emission;[];Ruthenium-106;kilo Becquerel;47367f49-cc19-46a1-9b51-c7ceed075bff;biosphere3
('air', 'low population density, long-term');emission;[];Argon-41;kilo Becquerel;3ebed407-1756-4880-8d8e-3b4da32bff8d;biosphere3
('water', 'ground-, long-term');emission;[];Mercury;kilogram;40f89b03-64f8-466d-9480-bca47d8a435c;biosphere3
('water', 'surface water');emission;[];4-Methyl-2-pentanone;kilogram;1a19ad61-abd0-4d42-9828-8fae315c0b06;biosphere3
('air', 'low population density, long-term');emission;[];Hydrocarbons, aromatic;kilogram;596712ce-d415-4636-a3cf-acc767b36857;biosphere3
('air', 'low population density, long-term');emission;[];Calcium hydroxide;kilogram;d01e19ca-a74b-4c54-88b8-8effdade14c9;biosphere3
('air',);emission;[];Pyrene;kilogram;8b48b5cf-853c-4970-840d-5d9c5fb3caac;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Formic acid;kilogram;da3057af-dca7-4b7d-b36e-8b241586cc0c;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Methyl amine;kilogram;78457869-af20-404f-a3bf-bad384fc177b;biosphere3
('natural resource', 'land');natural resource;[];Transformation, to seabed, drilling and mining;square meter;9b5b8c40-38fe-42fb-8130-56c15e485fd0;biosphere3
('natural resource', 'in ground');natural resource;[];Gallium, 0.014% in bauxite, in ground;kilogram;e2c5109f-9a68-4828-b824-eb2193864803;biosphere3
('water',);emission;[];Methyl formate;kilogram;c28194ca-3ebc-4f8b-a456-f133e8d0aaee;biosphere3
('natural resource', 'in ground');natural resource;[];Platinum, Pt 4.7E-7%, in mixed ore, in ground;kilogram;68be4a67-89e0-4cfe-a089-fa8706de230e;biosphere3
('water', 'surface water');emission;[];Potassium-40;kilo Becquerel;7a35cc5e-9093-4ef6-bf78-37221ebcb1bb;biosphere3
('soil',);emission;[];Hydrocarbons, unspecified;kilogram;042e5892-cd59-4e95-949e-cacce0e6a590;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from urban, continuously built;square meter;a8e39acd-6e7f-4d43-973b-37e6b7c00037;biosphere3
('water',);emission;[];AOX, Adsorbable Organic Halogen as Cl;kilogram;a4f6341b-1762-4222-9024-bfd91f63588f;biosphere3
('air', 'urban air close to ground');emission;[];Silver-110;kilo Becquerel;c8dd5128-8a14-41c8-abab-7112ce115f94;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Thiodicarb;kilogram;d90a3903-d98e-4750-9dc4-647f2c6af3ec;biosphere3
('air', 'low population density, long-term');emission;[];t-Butylamine;kilogram;4e1c58e6-4eb7-4ca6-8db9-6c4a6932bc1f;biosphere3
